,ObservationDate,Confirmed
200,2020-08-17,2702681.0
201,2020-08-18,2767253.0
202,2020-08-19,2836925.0
203,2020-08-20,2905825.0
204,2020-08-21,2975701.0
205,2020-08-22,3044940.0
206,2020-08-23,3106348.0
207,2020-08-24,3167323.0
208,2020-08-25,3224547.0
209,2020-08-26,3310234.0
210,2020-08-27,3387500.0
211,2020-08-28,3463972.0
212,2020-08-29,3542733.0
213,2020-08-30,3621245.0
214,2020-08-31,3691166.0
215,2020-09-01,3769523.0
216,2020-09-02,3853406.0
217,2020-09-03,3936747.0
218,2020-09-04,4023179.0
219,2020-09-05,4113811.0
220,2020-09-06,4204613.0
221,2020-09-07,4280422.0
222,2020-09-08,4370128.0
223,2020-09-09,4465863.0
224,2020-09-10,4562414.0
225,2020-09-11,4659984.0
226,2020-09-12,4754356.0
227,2020-09-13,4846427.0
228,2020-09-14,4846427.0
229,2020-09-15,5020359.0
230,2020-09-16,5118253.0
231,2020-09-17,5214677.0
232,2020-09-18,5308014.0
233,2020-09-19,5400619.0
234,2020-09-20,5487580.0
235,2020-09-21,5562663.0
236,2020-09-22,5646010.0
237,2020-09-23,5732518.0
238,2020-09-24,5818570.0
239,2020-09-25,5903932.0
240,2020-09-26,5992532.0
241,2020-09-27,6074702.0
242,2020-09-28,6145291.0
243,2020-09-29,6225763.0
244,2020-09-30,6312584.0
245,2020-10-01,6386526.0
246,2020-10-02,6473544.0
247,2020-10-03,6549373.0
248,2020-10-04,6623815.0
249,2020-10-05,6685082.0
250,2020-10-06,6757131.0
251,2020-10-07,6835655.0
252,2020-10-08,6906151.0
253,2020-10-09,6979423.0
254,2020-10-10,7053806.0
255,2020-10-11,7120538.0
256,2020-10-12,7175880.0
257,2020-10-13,7239389.0
258,2020-10-14,7307097.0
259,2020-10-15,7370468.0
260,2020-10-16,7432680.0
261,2020-10-17,7494551.0
262,2020-10-18,7550273.0
263,2020-10-19,7597063.0
264,2020-10-20,7651107.0
265,2020-10-21,7706946.0
266,2020-10-22,7761312.0
267,2020-10-23,7814682.0
268,2020-10-24,7864811.0
269,2020-10-25,7909959.0
270,2020-10-26,7946429.0
271,2020-10-27,7990322.0
272,2020-10-28,8040203.0
273,2020-10-29,8088851.0
274,2020-10-30,8137119.0
275,2020-10-31,8184082.0
276,2020-11-01,8229313.0
277,2020-11-02,8267623.0
278,2020-11-03,8313876.0
279,2020-11-04,8364086.0
280,2020-11-05,8411724.0
281,2020-11-06,8462080.0
282,2020-11-07,8507754.0
283,2020-11-08,8553657.0
284,2020-11-09,8591730.0
285,2020-11-10,8636011.0
286,2020-11-11,8683916.0
287,2020-11-12,8728795.0
288,2020-11-13,8773479.0
289,2020-11-14,8814579.0
290,2020-11-15,8845127.0
291,2020-11-16,8873541.0
292,2020-11-17,8912907.0
293,2020-11-18,8958483.0
294,2020-11-19,9004365.0
295,2020-11-20,9050597.0
296,2020-11-21,9095806.0
297,2020-11-22,9139865.0
298,2020-11-23,9177840.0
299,2020-11-24,9222216.0
300,2020-11-25,9266705.0
301,2020-11-26,9309787.0
302,2020-11-27,9351109.0
303,2020-11-28,9392919.0
304,2020-11-29,9431691.0
305,2020-11-30,9462809.0
306,2020-12-01,9499413.0
307,2020-12-02,9534964.0
308,2020-12-03,9571559.0
309,2020-12-04,9608211.0
310,2020-12-05,9644222.0
311,2020-12-06,9677203.0
312,2020-12-07,9703770.0
313,2020-12-08,9735850.0
314,2020-12-09,9767371.0
315,2020-12-10,9796744.0
316,2020-12-11,9826775.0
317,2020-12-12,9857029.0
318,2020-12-13,9884100.0
319,2020-12-14,9906165.0
320,2020-12-15,9932547.0
321,2020-12-16,9956557.0
322,2020-12-17,9979447.0
323,2020-12-18,10004599.0
324,2020-12-19,10031223.0
325,2020-12-20,10055560.0
326,2020-12-21,10075116.0
327,2020-12-22,10099066.0
328,2020-12-23,10123778.0
329,2020-12-24,10146845.0
330,2020-12-25,10169118.0
331,2020-12-26,10187850.0
332,2020-12-27,10207871.0
333,2020-12-28,10224303.0
334,2020-12-29,10244852.0
335,2020-12-30,10266674.0
336,2020-12-31,10266674.0
337,2021-01-01,10286709.0
338,2021-01-02,10323965.0
339,2021-01-03,10340469.0
340,2021-01-04,10356844.0
341,2021-01-05,10374932.0
342,2021-01-06,10395278.0
343,2021-01-07,10413417.0
344,2021-01-08,10413417.0
345,2021-01-09,10450284.0
346,2021-01-10,10466595.0
347,2021-01-11,10479179.0
348,2021-01-12,10495147.0
349,2021-01-13,10512093.0
350,2021-01-14,10527683.0
351,2021-01-15,10542841.0
352,2021-01-16,10557985.0
353,2021-01-17,10571773.0
354,2021-01-18,10581823.0
355,2021-01-19,10595639.0
356,2021-01-20,10610883.0
357,2021-01-21,10625428.0
358,2021-01-22,10639684.0
359,2021-01-23,10654533.0
360,2021-01-24,10667736.0
361,2021-01-25,10676838.0
362,2021-01-26,10689527.0
363,2021-01-27,10701193.0
364,2021-01-28,10720048.0
365,2021-01-29,10733130.0
366,2021-01-30,10746174.0
367,2021-01-31,10757610.0
368,2021-02-01,10766245.0
369,2021-02-02,10777284.0
370,2021-02-03,10790183.0
371,2021-02-04,10802591.0
372,2021-02-05,10814304.0
373,2021-02-06,10826363.0
374,2021-02-07,10838194.0
375,2021-02-08,10847304.0
376,2021-02-09,10858371.0
377,2021-02-10,10871294.0
378,2021-02-11,10880603.0
379,2021-02-12,10892746.0
380,2021-02-13,10904940.0
381,2021-02-14,10916589.0
382,2021-02-15,10925710.0
383,2021-02-16,10937320.0
384,2021-02-17,10950201.0
385,2021-02-18,10963394.0
386,2021-02-19,10977387.0
387,2021-02-20,10991651.0
388,2021-02-21,11005850.0
389,2021-02-22,11016434.0
390,2021-02-23,11030176.0
391,2021-02-24,11046914.0
392,2021-02-25,11063491.0
393,2021-02-26,11079979.0
394,2021-02-27,11096731.0
395,2021-02-28,11112241.0
396,2021-03-01,11124527.0
397,2021-03-02,11139516.0
398,2021-03-03,11156923.0
399,2021-03-04,11173761.0
400,2021-03-05,11192045.0
401,2021-03-06,11210799.0
402,2021-03-07,11229398.0
403,2021-03-08,11244786.0
404,2021-03-09,11262707.0
405,2021-03-10,11285561.0
406,2021-03-11,11308846.0
407,2021-03-12,11333728.0
408,2021-03-13,11359048.0
